"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000046879",445.389440462429,-1.77043735489128,0.32945012274045,3.63189646045521e-09,8.86926618758635e-08,"Down","Irgm1"
"ENSMUSG00000026532",2174.66152099558,-1.77246814109184,0.226446814466587,2.75070167722215e-16,1.58843225913435e-14,"Down","Spta1"
"ENSMUSG00000023274",16.4836113168012,-1.77287613560655,0.576342080896227,3.14075730693172e-05,0.000355245590704235,"Down","Cd4"
"ENSMUSG00000096141",7.4361830571141,-1.78348517712428,1.63375539557225,0.00116163951472404,0.00816956219149336,"Down","Dnah7a"
"ENSMUSG00000084401",1.99560797412003,-1.78744064861463,2.06830570704873,0.00140175433550216,0.00955673011311583,"Down",NA
"ENSMUSG00000040694",96.0477317269677,-1.78762552206101,0.301734337564482,1.49471242771557e-10,4.46848468987713e-09,"Down","Apobec2"
"ENSMUSG00000035279",33.5079875916697,-1.79037643596089,0.385057112954563,1.25543582418256e-07,2.40969968942767e-06,"Down","Ssc5d"
"ENSMUSG00000024235",29.3913463095143,-1.80444264072969,0.412153629264056,3.94604393754789e-07,6.87912948520454e-06,"Down","Map3k8"
"ENSMUSG00000048865",154.070879955406,-1.81063102242692,0.176588825671218,5.72426000324395e-26,6.94760634764979e-24,"Down","Arhgap30"
"ENSMUSG00000002020",28.2659116527557,-1.8126549467425,0.597961503851811,3.23718272424383e-05,0.000364120181119302,"Down","Ltbp2"
"ENSMUSG00000071414",35.7700844899592,-1.83205030255727,0.43903790666757,8.4140251701524e-07,1.35999901255039e-05,"Down",NA
"ENSMUSG00000026117",43.6993641289808,-1.83372640193049,0.302025764893392,5.25246471167387e-11,1.64293529692774e-09,"Down","Zap70"
"ENSMUSG00000048070",45.8653579412288,-1.83512653647849,0.246837471775212,4.60341663420419e-15,2.33851257540563e-13,"Down","Pirt"
"ENSMUSG00000061517",48.9015647004676,-1.83897338984358,0.442936772787167,8.96990826931904e-07,1.43837872397807e-05,"Down","Sox21"
"ENSMUSG00000107632",215.884935350171,-1.84821389186709,0.214838910962527,3.33666113337828e-19,2.53298818398668e-17,"Down",NA
"ENSMUSG00000032776",161.744398467183,-1.86140667358337,0.230136403869683,2.4520089294675e-17,1.57777044417069e-15,"Down","Mctp2"
"ENSMUSG00000044562",401.004211973247,-1.8618356644647,0.262065006157776,4.76951953292984e-14,2.17462718393983e-12,"Down","Rasip1"
"ENSMUSG00000030782",124.903011294157,-1.86432419034479,0.881457986060712,0.000204441181926393,0.00181746417388862,"Down","Tgfb1i1"
"ENSMUSG00000026764",1183.01026000538,-1.87304193193843,0.143719685213505,3.23332335444918e-40,7.71014483192123e-38,"Down","Kif5c"
