"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000073568",304.426354602002,1.07553950615991,0.480488570422814,0.000413693206589942,0.00677432425851198,"Up","Arl14epl"
"ENSMUSG00000029093",114.516069532211,1.06972198959344,0.471653583368528,0.000388258764635238,0.00645570474462774,"Up","Sorcs2"
"ENSMUSG00000042524",192.122281146351,1.06839546509752,0.250184630698973,7.29645681359687e-07,3.05062505680739e-05,"Up","Sun2"
"ENSMUSG00000032870",623.989771211656,1.06682983058158,0.184370159453481,4.53358001551931e-10,3.87853007136276e-08,"Up","Smap2"
"ENSMUSG00000022940",240.602416399616,1.06676053183564,0.27719249143217,3.64944918607177e-06,0.000124803458840834,"Up","Pigp"
"ENSMUSG00000040857",1413.39686680608,1.06650178269003,0.189951028727535,1.19042395077118e-09,9.35096050057291e-08,"Up","Erf"
"ENSMUSG00000021253",55.5558169449861,1.06644188724996,0.706381196405568,0.00201664436411805,0.023304819166019,"Up","Tgfb3"
"ENSMUSG00000090996",53.4714700712284,1.06578375123103,0.429399354225619,0.000229606833079213,0.00425133451934241,"Up",NA
"ENSMUSG00000072676",140.732451329116,1.06556098813291,0.335098186736591,3.31907950582488e-05,0.000831277091304275,"Up","Tmem254"
"ENSMUSG00000020101",104.719044732848,1.06369761284712,0.357231617036683,6.02618941156231e-05,0.00138531473136749,"Up","Vsir"
"ENSMUSG00000070337",68.2224854748427,1.06297547044438,0.500981628059111,0.000554045214551075,0.00850827017274465,"Up","Gpr179"
"ENSMUSG00000054469",204.505459158089,1.05952740956837,0.246038617937639,6.28646178422663e-07,2.67582368424832e-05,"Up","Lclat1"
"ENSMUSG00000070305",100.684212084178,1.05844198985535,0.365590147144227,7.64314059850061e-05,0.00168474056627834,"Up","Mpzl3"
"ENSMUSG00000000605",223.637291799549,1.05833933691655,0.219650237110054,6.77240611507677e-08,3.6326401379584e-06,"Up","Clcn4"
"ENSMUSG00000048490",655.059010740964,1.05748682015175,0.196409362114412,4.11646411393416e-09,2.93151051542311e-07,"Up","Nrip1"
"ENSMUSG00000020227",80.7443427413093,1.05724978076256,0.437266384893197,0.000272567626953961,0.00489300417306135,"Up","Irak3"
"ENSMUSG00000028232",303.486092856771,1.05654331080585,0.181567270299282,3.74954895445668e-10,3.2836421620752e-08,"Up","Tmem68"
"ENSMUSG00000034165",2662.33048505221,1.05611212250962,0.29242191322281,8.34462117176747e-06,0.000256594626351787,"Up","Ccnd3"
"ENSMUSG00000053654",32.3263332409672,1.0534306670283,0.667696409474397,0.0018146809397938,0.0216077902256936,"Up","Krt42"
"ENSMUSG00000045838",33.477399348279,1.05319159763482,0.561805003749668,0.000981976508445558,0.0134610232955715,"Up","Ccdc9b"
"ENSMUSG00000021822",114.488134787203,1.05299446693492,0.465106151018225,0.000400521861321263,0.0066018193706514,"Up","Plau"
"ENSMUSG00000015468",161.847416265884,1.05139687766376,0.348459846597579,5.40845197195288e-05,0.00125963964076336,"Up","Notch4"
"ENSMUSG00000078817",1097.53891574551,1.05089302618661,0.417163898140325,0.000212037754859706,0.0039685506725439,"Up","Nlrp12"
"ENSMUSG00000038327",14.3114501181743,1.05085125466472,1.01773206281232,0.00444173121573146,0.0422371814285367,"Up","Serpinb9f"
"ENSMUSG00000023571",100.259531491013,1.05012875468785,0.45471999023016,0.000359814924982111,0.00606050843754795,"Up","C1qtnf12"
"ENSMUSG00000002031",1069.5915449831,1.04869747717852,0.231926364449515,2.5364297859236e-07,1.17014885170218e-05,"Up","Ift46"
"ENSMUSG00000008398",178.720249926004,1.04834511957891,0.246522360174905,7.77807672417226e-07,3.2363291307222e-05,"Up","Elk3"
"ENSMUSG00000026463",372.781321505594,1.04820645311424,0.389742795115207,0.00013567723463934,0.00273273137243277,"Up","Atp2b4"
"ENSMUSG00000050860",43.9791063743343,1.04796405752844,0.806969576289232,0.00304265377037482,0.031764668157735,"Up","Phospho1"
