"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"exEpiLC","GO:2000241","regulation of reproductive process","9/155","222/23189",0.0405405405405405,6.06512641673932,6.22053094334525,1.92676032143008e-05,0.000564399791716469,0.000522377124372314,"ENSMUSG00000028109/ENSMUSG00000010592/ENSMUSG00000009670/ENSMUSG00000078653/ENSMUSG00000036743/ENSMUSG00000040629/ENSMUSG00000060445/ENSMUSG00000062859/ENSMUSG00000029848",9
"exEpiLC","GO:0003341","cilium movement","10/155","299/23189",0.0334448160535117,5.00356025461215,5.71573230672895,3.45932890738065e-05,0.000989203337562895,0.000915551710825555,"ENSMUSG00000009596/ENSMUSG00000046192/ENSMUSG00000028845/ENSMUSG00000021758/ENSMUSG00000020639/ENSMUSG00000053153/ENSMUSG00000041809/ENSMUSG00000024033/ENSMUSG00000040936/ENSMUSG00000010044",10
"exEpiLC","GO:0097722","sperm motility","9/155","244/23189",0.0368852459016393,5.51827075621364,5.82017372754488,4.04261963658812e-05,0.00112911306594008,0.00104504439075571,"ENSMUSG00000009596/ENSMUSG00000046192/ENSMUSG00000028845/ENSMUSG00000021758/ENSMUSG00000020639/ENSMUSG00000053153/ENSMUSG00000041809/ENSMUSG00000024033/ENSMUSG00000010044",9
"exEpiLC","GO:0007062","sister chromatid cohesion","5/155","58/23189",0.0862068965517241,12.8971078976641,7.44168026581037,4.30687799713049e-05,0.00117558192603494,0.00108805338874876,"ENSMUSG00000028109/ENSMUSG00000020419/ENSMUSG00000022432/ENSMUSG00000020059/ENSMUSG00000036928",5
"exEpiLC","GO:0040029","regulation of gene expression, epigenetic","10/155","315/23189",0.0317460317460317,4.74941116231439,5.49616927757789,5.36203922110463e-05,0.00143106868989926,0.00132451775847637,"ENSMUSG00000030491/ENSMUSG00000022652/ENSMUSG00000046323/ENSMUSG00000040629/ENSMUSG00000009628/ENSMUSG00000021758/ENSMUSG00000072419/ENSMUSG00000051176/ENSMUSG00000025081/ENSMUSG00000018509",10
"exEpiLC","GO:0033313","meiotic cell cycle checkpoint signaling","3/155","13/23189",0.230769230769231,34.5245657568238,9.91809833529046,7.97522074641034e-05,0.00208222611226931,0.00192719293094035,"ENSMUSG00000028109/ENSMUSG00000060445/ENSMUSG00000076430",3
"exEpiLC","GO:0051783","regulation of nuclear division","7/155","159/23189",0.0440251572327044,6.58644755528505,5.79829267292014,9.93181798842445e-05,0.00253789646895697,0.00234893612447396,"ENSMUSG00000028109/ENSMUSG00000010342/ENSMUSG00000010592/ENSMUSG00000036743/ENSMUSG00000060445/ENSMUSG00000029848/ENSMUSG00000025219",7
"exEpiLC","GO:0007028","cytoplasm organization","3/155","17/23189",0.176470588235294,26.4011385199241,8.59426413876751,0.000185931327820742,0.00456992034825718,0.00422966465468214,"ENSMUSG00000023403/ENSMUSG00000025081/ENSMUSG00000043648",3
"exEpiLC","GO:0031507","heterochromatin assembly","7/155","176/23189",0.0397727272727273,5.95025659824047,5.40767073477829,0.000186449706132058,0.00456992034825718,0.00422966465468214,"ENSMUSG00000030491/ENSMUSG00000022652/ENSMUSG00000040629/ENSMUSG00000009628/ENSMUSG00000021758/ENSMUSG00000025081/ENSMUSG00000018509",7
"exEpiLC","GO:0030317","flagellated sperm motility","8/155","236/23189",0.0338983050847458,5.07140513942045,5.15695577912952,0.000194790972717712,0.00467887916467944,0.0043305108882085,"ENSMUSG00000009596/ENSMUSG00000046192/ENSMUSG00000028845/ENSMUSG00000021758/ENSMUSG00000020639/ENSMUSG00000053153/ENSMUSG00000041809/ENSMUSG00000024033",8
"exEpiLC","GO:0044782","cilium organization","11/155","452/23189",0.0243362831858407,3.64086497288039,4.65116393085924,0.000239116942695789,0.00563096957211063,0.00521171293058314,"ENSMUSG00000046192/ENSMUSG00000028845/ENSMUSG00000036598/ENSMUSG00000020639/ENSMUSG00000053153/ENSMUSG00000049811/ENSMUSG00000028758/ENSMUSG00000024206/ENSMUSG00000024033/ENSMUSG00000040936/ENSMUSG00000010044",11
"exEpiLC","GO:0007351","tripartite regional subdivision","3/155","19/23189",0.157894736842105,23.6220713073005,8.09205757774321,0.000262364328910306,0.00594527469851468,0.00550261631239888,"ENSMUSG00000023403/ENSMUSG00000025081/ENSMUSG00000043648",3
"exEpiLC","GO:0008595","anterior/posterior axis specification, embryo","3/155","19/23189",0.157894736842105,23.6220713073005,8.09205757774321,0.000262364328910306,0.00594527469851468,0.00550261631239888,"ENSMUSG00000023403/ENSMUSG00000025081/ENSMUSG00000043648",3
"exEpiLC","GO:0048608","reproductive structure development","10/155","385/23189",0.025974025974026,3.88588186007541,4.68399271121774,0.000275385082809716,0.00612476823063831,0.00566874556427018,"ENSMUSG00000027794/ENSMUSG00000005493/ENSMUSG00000009670/ENSMUSG00000009628/ENSMUSG00000060445/ENSMUSG00000022039/ENSMUSG00000039329/ENSMUSG00000027939/ENSMUSG00000022429/ENSMUSG00000025219",10
"exEpiLC","GO:0061458","reproductive system development","10/155","390/23189",0.0256410256410256,3.83606286186931,4.63343495552715,0.000305028720161209,0.00666071805297476,0.0061647909758897,"ENSMUSG00000027794/ENSMUSG00000005493/ENSMUSG00000009670/ENSMUSG00000009628/ENSMUSG00000060445/ENSMUSG00000022039/ENSMUSG00000039329/ENSMUSG00000027939/ENSMUSG00000022429/ENSMUSG00000025219",10
"exEpiLC","GO:0060294","cilium movement involved in cell motility","8/155","255/23189",0.0313725490196078,4.6935357368754,4.86502756404741,0.000328347849810274,0.0070418887075382,0.00651758137969266,"ENSMUSG00000009596/ENSMUSG00000046192/ENSMUSG00000028845/ENSMUSG00000021758/ENSMUSG00000020639/ENSMUSG00000053153/ENSMUSG00000041809/ENSMUSG00000024033",8
"exEpiLC","GO:0035234","ectopic germ cell programmed cell death","3/155","21/23189",0.142857142857143,21.3723502304147,7.66159732033609,0.000356592816380562,0.00741544150667539,0.00686332111928587,"ENSMUSG00000009670/ENSMUSG00000040629/ENSMUSG00000060445",3
"exEpiLC","GO:0001539","cilium or flagellum-dependent cell motility","8/155","259/23189",0.0308880308880309,4.62104869846805,4.80723146829671,0.000364288966606035,0.00741544150667539,0.00686332111928587,"ENSMUSG00000009596/ENSMUSG00000046192/ENSMUSG00000028845/ENSMUSG00000021758/ENSMUSG00000020639/ENSMUSG00000053153/ENSMUSG00000041809/ENSMUSG00000024033",8
"exEpiLC","GO:0060285","cilium-dependent cell motility","8/155","259/23189",0.0308880308880309,4.62104869846805,4.80723146829671,0.000364288966606035,0.00741544150667539,0.00686332111928587,"ENSMUSG00000009596/ENSMUSG00000046192/ENSMUSG00000028845/ENSMUSG00000021758/ENSMUSG00000020639/ENSMUSG00000053153/ENSMUSG00000041809/ENSMUSG00000024033",8
"exEpiLC","GO:0030539","male genitalia development","3/155","22/23189",0.136363636363636,20.4008797653959,7.46810953181041,0.000410877737508541,0.00822440271246263,0.00761205071594771,"ENSMUSG00000009628/ENSMUSG00000060445/ENSMUSG00000025219",3
"exEpiLC","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","4/155","55/23189",0.0727272727272727,10.8804692082111,6.01791933164267,0.000502382503657998,0.00981071180375116,0.00908025037447848,"ENSMUSG00000046192/ENSMUSG00000053153/ENSMUSG00000024033/ENSMUSG00000040936",4
"exEpiLC","GO:0001578","microtubule bundle formation","6/155","149/23189",0.0402684563758389,6.02442087031825,5.04720240591923,0.00050646472259165,0.00981071180375116,0.00908025037447848,"ENSMUSG00000028845/ENSMUSG00000053153/ENSMUSG00000045467/ENSMUSG00000024033/ENSMUSG00000040936/ENSMUSG00000010044",6
"exEpiLC","GO:0060271","cilium assembly","10/155","417/23189",0.0239808153477218,3.58768469095691,4.37412923338433,0.000515185438160618,0.00982123351160163,0.00908998868333522,"ENSMUSG00000046192/ENSMUSG00000028845/ENSMUSG00000036598/ENSMUSG00000020639/ENSMUSG00000053153/ENSMUSG00000049811/ENSMUSG00000024206/ENSMUSG00000024033/ENSMUSG00000040936/ENSMUSG00000010044",10
"exEpiLC","GO:0006858","extracellular transport","4/155","58/23189",0.0689655172413793,10.3176863181313,5.82824355238999,0.000615337786370163,0.0115471981473526,0.0106874457632712,"ENSMUSG00000046192/ENSMUSG00000053153/ENSMUSG00000024033/ENSMUSG00000040936",4
"exEpiLC","GO:0046661","male sex differentiation","7/155","217/23189",0.032258064516129,4.82601456815817,4.64504468405348,0.000658589247388481,0.0120140544089532,0.0111195420096013,"ENSMUSG00000009670/ENSMUSG00000009628/ENSMUSG00000060445/ENSMUSG00000022039/ENSMUSG00000039329/ENSMUSG00000027939/ENSMUSG00000025219",7
"exEpiLC","GO:0045814","negative regulation of gene expression, epigenetic","7/155","218/23189",0.0321100917431193,4.80387688665286,4.62889747807817,0.000676686885986973,0.0120140544089532,0.0111195420096013,"ENSMUSG00000030491/ENSMUSG00000022652/ENSMUSG00000040629/ENSMUSG00000009628/ENSMUSG00000021758/ENSMUSG00000025081/ENSMUSG00000018509",7
"exEpiLC","GO:0022403","cell cycle phase","3/155","26/23189",0.115384615384615,17.2622828784119,6.80586915393144,0.000680229558541897,0.0120140544089532,0.0111195420096013,"ENSMUSG00000039224/ENSMUSG00000060445/ENSMUSG00000068117",3
"exEpiLC","GO:0045948","positive regulation of translational initiation","3/155","26/23189",0.115384615384615,17.2622828784119,6.80586915393144,0.000680229558541897,0.0120140544089532,0.0111195420096013,"ENSMUSG00000039224/ENSMUSG00000010592/ENSMUSG00000025977",3
"exEpiLC","GO:0008406","gonad development","8/155","296/23189",0.027027027027027,4.04341761115955,4.32283704426831,0.000874156997655031,0.0152153993359955,0.0140825292070742,"ENSMUSG00000027794/ENSMUSG00000005493/ENSMUSG00000009670/ENSMUSG00000022039/ENSMUSG00000039329/ENSMUSG00000027939/ENSMUSG00000022429/ENSMUSG00000025219",8
"exEpiLC","GO:0035082","axoneme assembly","5/155","112/23189",0.0446428571428571,6.67885944700461,4.94189222549495,0.000944468680836032,0.0161203416605517,0.0149200936005457,"ENSMUSG00000028845/ENSMUSG00000053153/ENSMUSG00000024033/ENSMUSG00000040936/ENSMUSG00000010044",5
"exEpiLC","GO:0045137","development of primary sexual characteristics","8/155","300/23189",0.0266666666666667,3.98950537634409,4.27522888049711,0.000952992720981826,0.0161203416605517,0.0149200936005457,"ENSMUSG00000027794/ENSMUSG00000005493/ENSMUSG00000009670/ENSMUSG00000022039/ENSMUSG00000039329/ENSMUSG00000027939/ENSMUSG00000022429/ENSMUSG00000025219",8
"exEpiLC","GO:0007350","blastoderm segmentation","3/155","30/23189",0.1,14.9606451612903,6.2765216097602,0.00104161898907284,0.0173747834149511,0.0160811352698965,"ENSMUSG00000023403/ENSMUSG00000025081/ENSMUSG00000043648",3
"exEpiLC","GO:0010623","programmed cell death involved in cell development","3/155","32/23189",0.09375,14.0256048387097,6.04845639085051,0.0012601400557834,0.0207318932465186,0.0191882898184177,"ENSMUSG00000009670/ENSMUSG00000040629/ENSMUSG00000060445",3
"exEpiLC","GO:0007289","spermatid nucleus differentiation","3/155","33/23189",0.0909090909090909,13.6005865102639,5.94194699745449,0.00137939812329183,0.0223872587307227,0.0207204042417663,"ENSMUSG00000027855/ENSMUSG00000011349/ENSMUSG00000020059",3
"exEpiLC","GO:0000731","DNA synthesis involved in DNA repair","3/155","37/23189",0.0810810810810811,12.1302528334786,5.55807558690081,0.00192643962008925,0.0296946740196614,0.0274837422891121,"ENSMUSG00000027855/ENSMUSG00000020059/ENSMUSG00000032065",3
"exEpiLC","GO:0007128","meiotic prophase I","2/155","10/23189",0.2,29.9212903225806,7.50383249731433,0.00192854668903713,0.0296946740196614,0.0274837422891121,"ENSMUSG00000039224/ENSMUSG00000068117",2
"exEpiLC","GO:0030718","germ-line stem cell population maintenance","2/155","10/23189",0.2,29.9212903225806,7.50383249731433,0.00192854668903713,0.0296946740196614,0.0274837422891121,"ENSMUSG00000067338/ENSMUSG00000067702",2
"exEpiLC","GO:0051324","prophase","2/155","10/23189",0.2,29.9212903225806,7.50383249731433,0.00192854668903713,0.0296946740196614,0.0274837422891121,"ENSMUSG00000039224/ENSMUSG00000068117",2
"exEpiLC","GO:0001675","acrosome assembly","3/155","39/23189",0.0769230769230769,11.5081885856079,5.38762646752636,0.00224386429514678,0.0341124179553327,0.0315725609017322,"ENSMUSG00000028264/ENSMUSG00000020639/ENSMUSG00000024206",3
"exEpiLC","GO:0007618","mating","2/155","11/23189",0.181818181818182,27.2011730205279,7.13003910916629,0.00234678694449221,0.0347961866708043,0.0322054192772421,"ENSMUSG00000046192/ENSMUSG00000024033",2
"exEpiLC","GO:0060484","lung-associated mesenchyme development","2/155","11/23189",0.181818181818182,27.2011730205279,7.13003910916629,0.00234678694449221,0.0347961866708043,0.0322054192772421,"ENSMUSG00000072419/ENSMUSG00000058550",2
"exEpiLC","GO:2000242","negative regulation of reproductive process","4/155","86/23189",0.0465116279069767,6.95843960990247,4.54109295913649,0.00266585552606034,0.0390450303268106,0.0361379131645663,"ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000040629/ENSMUSG00000060445",4
"exEpiLC","GO:0098764","meiosis I cell cycle phase","2/155","12/23189",0.166666666666667,24.9344086021505,6.80295388838899,0.00280381430103888,0.0405708551270806,0.0375501319200641,"ENSMUSG00000039224/ENSMUSG00000068117",2
